,Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,cluster
361,5,2,0,0,0,0,0,24,35,34,0
362,0,2,2,16,21,3,22,32,2,1,1
363,2,2,11,12,15,22,8,1,27,1,2
364,3,2,6,11,13,7,6,21,27,3,2
365,2,2,3,21,8,38,6,12,3,4,1
366,2,2,4,20,26,15,10,10,5,5,1
367,0,2,11,12,17,0,25,0,34,0,2
368,6,2,3,16,3,22,31,4,4,8,1
369,0,2,0,0,0,0,0,0,98,0,2
370,2,2,2,2,2,30,0,0,30,30,0
371,1,2,5,7,7,7,7,7,34,24,0
372,3,2,4,6,6,3,3,34,4,34,3
373,0,2,1,17,22,2,1,1,32,23,0
374,0,2,0,7,10,0,0,24,27,30,0
375,1,2,3,0,6,12,0,30,32,14,2
376,0,2,0,2,21,21,21,2,2,30,3
377,1,2,2,18,19,2,4,3,30,20,0
378,0,2,0,4,1,16,1,16,30,30,0
379,1,2,2,2,2,11,26,26,26,2,2
380,1,2,4,5,13,18,23,27,6,1,1
381,6,2,9,13,16,19,24,3,3,4,1
382,5,2,13,14,18,22,23,1,1,1,1
383,1,2,1,1,4,6,21,21,22,22,3
384,3,2,0,0,0,0,0,25,35,36,0
385,1,2,2,2,13,13,20,7,27,13,2
386,3,2,5,17,3,19,3,19,3,24,3
387,0,2,0,8,16,0,1,34,34,5,2
388,1,2,5,8,16,16,22,22,3,3,1
389,1,2,1,1,1,11,12,31,35,5,2
390,3,2,2,14,2,20,23,26,3,4,1
391,2,2,4,1,2,24,27,3,32,3,2
392,1,2,19,1,1,21,0,23,0,33,3
393,3,2,3,3,11,11,16,21,26,3,2
394,1,2,1,1,10,20,29,34,1,1,1
395,0,2,8,19,17,12,4,4,4,31,3
396,1,2,19,1,1,21,0,23,0,33,3
397,0,2,1,19,0,19,1,25,1,33,3
398,5,2,9,3,8,5,28,33,2,3,1
399,1,2,2,11,15,1,3,31,31,2,2
400,6,2,5,16,21,21,29,0,0,0,1
401,1,2,2,3,5,8,13,21,34,12,2
402,0,2,11,13,2,21,21,21,0,11,1
403,2,2,11,11,11,18,21,22,1,1,1
404,2,2,3,5,17,19,19,2,2,28,3
405,2,2,2,15,8,8,28,33,1,1,1
406,1,2,5,7,9,11,13,15,17,19,3
407,1,2,4,15,15,16,16,26,2,2,1
408,0,2,0,16,3,19,3,0,33,24,0
409,4,2,5,6,7,9,11,16,28,10,2
410,0,2,0,16,1,1,25,27,27,1,2
411,0,2,0,0,0,0,0,34,34,29,0
412,0,2,3,17,21,17,14,16,5,6,1
413,1,2,3,16,23,2,4,6,23,20,0
414,1,2,1,1,1,8,14,19,26,28,0
415,0,2,1,17,20,20,20,20,1,0,1
416,1,2,1,13,5,11,20,20,20,8,2
417,2,2,6,9,12,16,21,24,4,4,1
418,1,2,1,15,20,20,20,20,1,1,1
419,4,2,4,4,11,22,34,7,6,5,1
420,0,2,2,3,4,5,9,20,21,35,0
421,0,2,2,3,15,15,15,15,18,15,3
422,2,2,8,2,2,18,2,2,31,31,0
423,1,2,1,1,17,12,22,23,21,1,2
424,5,2,9,14,1,17,17,18,16,1,2
425,2,2,11,8,2,17,24,5,3,27,3
426,0,2,2,4,4,7,7,7,35,32,0
427,0,2,2,17,20,17,14,16,6,7,1
428,1,2,1,1,14,18,23,38,1,1,1
429,2,2,5,7,9,11,13,15,16,18,3
430,10,2,10,13,13,12,15,21,1,1,1
431,0,2,0,19,19,0,0,8,25,26,0
432,0,2,3,13,15,16,17,17,10,6,1
433,0,2,7,5,6,17,16,17,16,16,3
434,1,2,1,1,15,20,29,30,1,1,1
435,1,2,1,1,15,15,15,15,15,21,3
436,1,2,2,2,2,2,20,20,20,30,3
437,3,2,8,3,21,5,26,10,10,11,1
438,3,2,11,19,2,19,19,17,2,4,1
439,0,2,1,1,19,22,25,28,1,1,1
440,2,2,2,1,1,1,1,32,31,27,0
441,2,2,7,9,17,19,31,4,4,4,1
442,0,2,15,2,2,2,23,25,2,28,3
443,5,2,0,0,0,0,0,21,31,41,0
444,2,2,6,5,15,18,2,12,3,35,3
445,1,2,3,1,10,10,18,24,31,1,2
446,1,2,1,1,1,15,17,19,21,23,3
447,0,2,5,4,10,17,0,0,29,32,0
448,1,2,1,1,6,0,0,30,0,59,3
449,0,2,0,11,0,0,25,30,31,0,2
450,0,2,3,3,3,18,18,3,25,25,0
451,6,2,0,0,0,0,0,31,30,30,0
452,5,2,10,15,15,15,15,10,5,5,1
453,1,2,1,1,1,10,14,19,25,27,0
454,1,2,2,2,18,17,16,15,14,13,3
455,2,2,2,15,15,15,15,2,2,30,3
456,2,2,5,7,9,11,13,15,16,18,3
457,1,2,1,15,1,18,1,26,2,34,3
458,0,2,4,13,16,8,14,14,17,14,3
459,0,2,0,0,20,49,29,0,0,0,1
460,0,2,8,2,2,14,2,2,34,34,0
461,2,2,3,15,18,23,24,1,1,10,1
462,0,2,0,1,18,21,0,22,35,2,2
463,1,2,3,10,25,4,5,5,10,35,3
464,0,2,1,2,3,6,8,15,25,39,0
465,2,2,26,13,30,1,3,10,5,8,3
466,1,2,4,8,11,15,26,27,3,3,1
467,0,2,3,6,15,18,0,0,27,30,0
468,0,2,10,0,0,16,0,0,34,38,0
469,5,2,0,0,0,0,0,29,29,34,0
470,0,2,0,15,17,2,3,4,21,37,0
471,2,2,6,8,1,12,14,16,18,20,3
472,3,2,0,0,0,0,0,31,32,31,0
473,0,2,0,0,11,11,11,21,21,25,3
474,0,2,12,0,0,22,0,0,33,31,0
475,2,2,9,17,22,16,5,7,5,13,3
476,1,2,6,8,10,12,14,16,15,15,3
477,2,2,4,8,16,33,16,14,2,2,1
478,5,2,5,6,12,12,16,9,12,19,3
479,2,2,0,0,0,0,0,28,33,36,0
480,1,2,2,15,19,0,11,14,17,20,3
481,0,2,0,5,10,10,15,20,22,18,3
482,1,2,5,7,9,10,13,15,17,20,3
483,0,2,4,5,1,8,15,18,22,24,3
484,1,2,11,12,1,20,24,28,1,1,1
485,0,2,0,16,20,20,21,21,1,1,1
486,1,2,2,3,4,6,9,14,23,36,0
487,0,2,0,0,11,4,0,15,34,34,0
488,0,2,0,7,8,0,0,34,34,15,2
489,3,2,4,18,18,3,6,11,17,17,3
490,0,2,0,0,0,25,0,33,40,0,2
491,0,2,8,9,13,5,28,30,2,2,1
492,4,2,4,7,5,26,26,26,0,0,1
493,5,2,7,8,10,12,14,12,14,15,3
494,2,2,4,10,2,16,25,3,33,3,2
495,0,2,0,13,0,12,0,0,36,37,0
496,2,2,8,2,2,16,2,2,31,33,0
497,0,2,0,0,3,16,16,26,26,11,2
498,0,2,1,1,12,15,18,20,17,15,3
499,1,2,2,2,3,4,5,25,30,26,0
500,1,2,9,9,18,19,20,21,1,1,1
501,2,2,2,2,6,21,21,21,21,2,2
502,1,2,16,2,2,21,2,2,26,27,0
503,3,2,3,1,1,15,3,22,27,22,0
504,1,2,4,7,13,20,24,28,0,0,1
505,2,2,10,2,30,36,3,3,6,6,1
506,2,2,7,9,12,2,28,32,3,3,1
507,1,2,1,1,5,15,20,25,30,1,2
508,0,2,9,22,22,6,26,2,6,6,1
509,2,2,5,7,9,11,13,15,16,18,3
510,0,2,2,8,10,18,27,27,4,3,1
